City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
146,Ilulissat,GL,69.2167,-51.1,44.62,76,100,11.5,light rain
147,Sechura,PE,-5.5569,-80.8222,75.34,59,26,20.0,scattered clouds
148,Kosh-Agach,RU,50.0,88.6667,52.02,83,63,3.62,light rain
149,Shitanjing,CN,39.2342,106.3439,68.92,78,0,11.97,clear sky
150,Hohhot,CN,40.8106,111.6522,71.33,76,73,2.91,broken clouds
151,Tura,IN,25.5198,90.2201,76.06,88,99,5.68,overcast clouds
152,Mandalgovi,MN,45.7625,106.2708,63.93,51,67,3.02,broken clouds
153,Dire,ML,12.2833,-10.9667,74.59,92,98,0.4,light rain
154,Opuwo,NA,-18.0607,13.84,57.49,16,0,8.1,clear sky
155,Viedma,AR,-40.8135,-62.9967,50.99,44,93,11.81,overcast clouds
156,Talnakh,RU,69.4865,88.3972,58.66,68,100,16.24,overcast clouds
157,Victoria,HK,22.2855,114.1577,85.24,87,78,5.01,light rain
158,Luderitz,NA,-26.6481,15.1594,66.2,22,0,19.75,clear sky
159,Tabas,IR,33.5959,56.9244,94.89,13,0,7.0,clear sky
160,Horta,PT,38.5333,-28.6333,71.29,94,100,9.1,overcast clouds
161,Fortuna,US,40.5982,-124.1573,71.85,67,20,4.0,few clouds
162,Weatherford,US,32.7593,-97.7972,94.73,55,12,4.0,few clouds
163,Puerto Ayora,EC,-0.7393,-90.3518,73.54,85,97,5.99,overcast clouds
164,Saskylakh,RU,71.9167,114.0833,55.38,78,97,14.09,overcast clouds
165,Vao,NC,-22.6667,167.4833,70.83,77,17,7.54,few clouds
166,Saint-Georges,GD,12.0564,-61.7485,82.11,77,47,11.63,scattered clouds
167,Port Hardy,CA,50.6996,-127.4199,58.35,88,100,3.83,overcast clouds
168,Roma,US,43.2128,-75.4557,79.83,53,75,1.01,broken clouds
169,Morehead,US,37.2711,-87.1764,88.14,61,40,0.0,scattered clouds
170,Severo-Kurilsk,RU,50.6789,156.125,55.22,93,94,7.29,overcast clouds
171,Loukhi,RU,66.0764,33.0381,44.01,78,100,5.73,overcast clouds
172,Katangli,RU,51.7102,143.2326,66.36,92,100,3.94,overcast clouds
173,Castro,BR,-24.7911,-50.0119,57.47,70,0,2.35,clear sky
174,Lagoa,PT,39.05,-27.9833,70.27,95,100,15.12,overcast clouds
175,Korla,CN,41.7597,86.1469,84.34,32,37,3.96,scattered clouds
176,Hambantota,LK,6.1241,81.1185,79.57,78,98,17.49,overcast clouds
177,Beloha,MG,-25.1667,45.05,61.52,67,43,6.76,scattered clouds
178,Gamba,GA,-2.65,10.0,70.36,85,37,5.53,scattered clouds
179,Mbekenyera,TZ,-10.0,38.9833,69.4,64,48,9.26,scattered clouds
180,Nantucket,US,41.2835,-70.0995,75.99,80,8,7.11,clear sky
181,Olafsvik,IS,64.8945,-23.7142,52.3,97,100,9.62,moderate rain
182,Esil,KZ,51.9556,66.4042,73.53,44,71,6.73,broken clouds
183,Yar-Sale,RU,66.8333,70.8333,49.64,91,94,18.12,overcast clouds
184,San Quintin,MX,30.4833,-115.95,75.79,67,74,11.01,broken clouds
185,Warangal,IN,18.0,79.5833,74.44,83,97,10.02,overcast clouds
186,Kirakira,SB,-10.4544,161.9205,80.55,80,82,5.26,broken clouds
187,Cao Bang,VN,22.6667,106.25,75.31,94,8,3.44,clear sky
188,Taksimo,RU,56.3444,114.8794,59.09,94,100,4.34,light rain
