City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
62,Belmonte,BR,75.2,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
67,Yatou,CN,73.33,scattered clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
72,Nacala,MZ,70.92,light rain,-14.5428,40.6728,Nacala Plaza Business Design Hotel
73,San Cristobal,VE,76.69,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
74,Nishihara,JP,80.65,light intensity shower rain,26.1842,127.7558,Minshuku Agaihama
76,Namatanai,PG,79.56,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
77,Hithadhoo,MV,82.17,overcast clouds,-0.6,73.0833,Scoop Guest House
79,Paracuru,BR,80.62,clear sky,-3.41,-39.0306,Hotel Vento Brasil
82,Komsomolskiy,UZ,74.62,clear sky,40.4272,71.7189,Ikathouse
83,Sioux Lookout,CA,77.38,broken clouds,50.1001,-91.917,Knobby's Fly-In Camps
84,Tuensang,IN,71.24,light rain,26.2833,94.8333,B.W.D Resthouse.
86,Mitu,CO,78.55,broken clouds,1.1983,-70.1733,Queramiki
87,Naze,JP,77.81,light rain,28.3667,129.4833,奄美ポートタワーホテル
88,Sarab,IR,79.88,scattered clouds,38.6066,44.9883,مسجد امام رضا
93,Sinnamary,GF,80.4,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
94,Manta,EC,76.57,broken clouds,-0.95,-80.7333,Balandra Hotel
95,Dingle,PH,78.26,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
97,Faanui,PF,78.22,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
98,Jamestown,US,78.3,few clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
99,Vieux-Habitants,GP,81.97,scattered clouds,16.0589,-61.7659,Gîtes Dardanelle
100,Zhezkazgan,KZ,80.13,clear sky,47.8043,67.7144,Hotel Zumrat
102,Martapura,ID,73.49,mist,-3.4167,114.85,Montana Hotel Syariah
103,Harindanga,IN,84.18,overcast clouds,22.0383,88.3214,QARI ARIF BILLAH HOUSE. & THE INTERNATIONAL TAHFIZUL. QURAN MADRASAH MISSAIN
108,San Policarpo,PH,81.7,heavy intensity rain,12.1791,125.5072,JM Lodge
109,Yellowknife,CA,74.28,light rain,62.456,-114.3525,The Explorer Hotel
110,Bethel,US,81.66,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
114,Garden City,US,77.49,scattered clouds,42.3256,-83.331,Quality Inn & Suites Banquet Center
115,Sao Filipe,CV,73.78,few clouds,14.8961,-24.4956,Hotel Xaguate
117,Birjand,IR,78.87,clear sky,32.8663,59.2211,Birjand Tourist Hotel
119,Grafton,US,77.81,overcast clouds,42.207,-71.6856,The Grafton Inn
120,Thompson,CA,71.76,broken clouds,55.7435,-97.8558,Burntwood Hotel
121,Baracoa,CU,84.61,broken clouds,20.3467,-74.4958,Hostal Rio Miel
122,Vaitape,PF,78.21,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
124,Turbat,PK,83.79,scattered clouds,26.0023,63.044,Mubashar Quarters
133,Butaritari,KI,83.91,broken clouds,3.0707,172.7902,Isles Sunset Lodge
134,Parana,AR,77.52,clear sky,-31.732,-60.5238,Howard Johnson by Wyndham Plaza Hotel Mayorazgo
135,Taybad,IR,84.96,clear sky,34.74,60.7756,لی پوش jean center
137,Santiago,CL,71.04,haze,-33.4569,-70.6483,Che Lagarto Hostel Santiago
141,Katsuura,JP,81.1,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
